stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1493,MLALE1,"Alexandre 1er",,48.704578,6.192409,,,0,
479,MLBAR0,"Driant",,48.709307,6.187494,,,0,
1479,MLBAR1,"Barrès",,48.707449,6.188430,,,0,
804,MLBOU0,"Le Bourgarel",,48.723227,6.176640,,,0,
1904,MLBOU1,"Le Bourgarel",,48.723586,6.176469,,,0,
1708,MLCAR1,"Sadi Carnot",,48.707050,6.185272,,,0,
360,MLCMS0,"Croix de Mission",,48.715626,6.184956,,,0,
1360,MLCMS1,"Croix de Mission",,48.714939,6.184619,,,0,
1362,MLECO0,"Ecole Paul Bert",,48.710785,6.184390,,,0,
363,MLEGL0,"Malzéville - Eglise",,48.711757,6.186623,,,0,
1478,MLEPA0,"Ecole Pasteur",,48.707484,6.191047,,,0,
478,MLEPA1,"Ecole Pasteur",,48.707429,6.191053,,,0,
769,MLJER0,"Jéricho",,48.707013,6.189604,,,0,
1769,MLJER1,"Jéricho",,48.706566,6.189831,,,0,
770,MLLIB0,"Libremont",,48.710109,6.197750,,,0,
1770,MLLIB1,"Libremont",,48.710118,6.197528,,,0,
352,MLLIO0,"Douëra",,48.709757,6.180355,,,0,
1352,MLLIO1,"Douëra",,48.709188,6.180849,,,0,
778,MLLIO2,"Lion d'Or",,48.708899,6.181739,,,0,
1778,MLLIO3,"Lion d'Or",,48.708882,6.181624,,,0,
358,MLLNG0,"Longefond",,48.721975,6.181163,,,0,
1358,MLLNG1,"Longefond",,48.721214,6.181436,,,0,
680,MLMAI0,"Malzéville Mairie",,48.708604,6.183182,,,0,
1680,MLMAI1,"Malzéville Mairie",,48.708462,6.182986,,,0,
803,MLMAR0,"Malzéville Margeville",,48.719457,6.177155,,,0,
477,MLNID0,"Le Nid",,48.705068,6.194628,,,0,
1477,MLNID1,"Le Nid",,48.705011,6.194300,,,0,
1365,MLORM1,"Orme",,48.707942,6.184740,,,0,
1476,MLPIN0,"Pinsons",,48.706638,6.197734,,,0,
1361,MLPSS0,"Passerelle",,48.712727,6.184353,,,0,
359,MLPVL0,"Pavillon",,48.718453,6.183199,,,0,
1359,MLPVL1,"Pavillon",,48.718841,6.182926,,,0,
355,MLPXR0,"Malzéville Pixerécourt",,48.731698,6.182227,,,0,
354,MLSAV0,"Malzéville Savlons",,48.713799,6.181546,,,0,
353,MLSTD0,"Malzéville Stade",,48.712165,6.178767,,,0,
1353,MLSTD1,"Malzéville Stade",,48.713823,6.176877,,,0,
357,MLVER0,"Verlaine",,48.723754,6.180961,,,0,
1357,MLVER1,"Verlaine",,48.724409,6.181143,,,0,
2824,MLVER2,"Malzéville Paul Verlaine",,48.723741,6.180512,,,0,
1314,MLZVI2,"Malzéville",,48.725286,6.181037,,,0,
802,MXAME0,"Améthyste",,48.714695,6.167242,,,0,
1902,MXAME1,"Améthyste",,48.714633,6.167169,,,0,
635,MXAUL0,"Les Aulnes",,48.705499,6.156055,,,0,
1635,MXAUL1,"Les Aulnes",,48.705717,6.155708,,,0,
233,MXCRB0,"Courbet",,48.712732,6.167707,,,0,
753,MXDAR0,"Stade Darnys",,48.706307,6.148934,,,0,
1753,MXDAR1,"Stade Darnys",,48.706197,6.148917,,,0,
348,MXDVL0,"Deville",,48.707607,6.172218,,,0,
1348,MXDVL1,"Deville",,48.707992,6.171976,,,0,
1996,MXECO0,"Maxeville EcoParc",,48.704986,6.132619,,,0,
1997,MXECO1,"Maxeville EcoParc",,48.705081,6.133095,,,0,
786,MXENO0,"Cuénot",,48.705660,6.135914,,,0,
1786,MXENO1,"Cuénot",,48.705603,6.135910,,,0,
280,MXEXU0,"Saint-Exupéry",,48.699954,6.130213,,,0,
1280,MXEXU1,"Saint-Exupéry",,48.699972,6.130580,,,0,
1656,MXGMB0,"Gambetta",,48.712593,6.166864,,,0,
764,MXITH0,"Zénith",,48.709235,6.148873,,,0,
1764,MXITH1,"Zénith",,48.709143,6.148847,,,0,
604,MXJAC0,"Nancy Pôle de santé",,48.703597,6.142036,,,0,
1604,MXJAC1,"Nancy Pôle de santé",,48.703511,6.141903,,,0,
682,MXJAQ0,"Saint-Jacques II",,48.702469,6.130807,,,0,
1682,MXJAQ1,"Saint-Jacques II",,48.702597,6.130694,,,0,
231,MXJUT0,"André Vautrin",,48.713637,6.164172,,,0,
1230,MXMAI1,"Maxéville Mairie",,48.712768,6.161713,,,0,
